Location,Month,MonthName,AvgTemp,Rainfall
Adelaide,1,Jan,24.5,0.8
Adelaide,2,Feb,23.9,1.0
Adelaide,3,Mar,21.5,1.2
Adelaide,4,Apr,18.1,1.4
Adelaide,5,May,15.0,2.2
Adelaide,6,Jun,12.2,2.2
Adelaide,7,Jul,11.6,2.9
Adelaide,8,Aug,12.4,2.4
Adelaide,9,Sep,14.9,1.8
Adelaide,10,Oct,17.6,0.9
Adelaide,11,Nov,20.5,0.7
Adelaide,12,Dec,22.1,1.2
Alice Springs,1,Jan,29.0,2.2
Alice Springs,2,Feb,28.0,1.9
Alice Springs,3,Mar,25.8,0.8
Alice Springs,4,Apr,20.9,0.7
Alice Springs,5,May,15.8,0.5
Alice Springs,6,Jun,12.2,0.2
Alice Springs,7,Jul,11.9,0.7
Alice Springs,8,Aug,14.9,0.2
Alice Springs,9,Sep,19.2,0.5
Alice Springs,10,Oct,22.8,0.3
Alice Springs,11,Nov,26.5,0.8
Alice Springs,12,Dec,27.8,1.8
Brisbane,1,Jan,26.0,6.5
Brisbane,2,Feb,26.1,4.8
Brisbane,3,Mar,24.8,4.7
Brisbane,4,Apr,22.3,2.8
Brisbane,5,May,19.2,2.9
Brisbane,6,Jun,16.9,2.6
Brisbane,7,Jul,16.2,1.0
Brisbane,8,Aug,17.1,1.3
Brisbane,9,Sep,19.7,1.3
Brisbane,10,Oct,21.3,2.4
Brisbane,11,Nov,24.0,3.3
Brisbane,12,Dec,24.9,4.6
Cairns,1,Jan,28.0,13.8
Cairns,2,Feb,27.9,16.8
Cairns,3,Mar,27.4,11.4
Cairns,4,Apr,26.0,5.9
Cairns,5,May,24.2,3.1
Cairns,6,Jun,22.6,1.8
Cairns,7,Jul,22.2,1.0
Cairns,8,Aug,22.4,0.7
Cairns,9,Sep,24.2,1.0
Cairns,10,Oct,25.3,3.4
Cairns,11,Nov,26.7,3.4
Cairns,12,Dec,27.8,5.7
Canberra,1,Jan,22.1,1.6
Canberra,2,Feb,20.6,2.4
Canberra,3,Mar,18.2,2.0
Canberra,4,Apr,13.7,1.2
Canberra,5,May,9.5,0.8
Canberra,6,Jun,7.5,1.6
Canberra,7,Jul,6.3,1.3
Canberra,8,Aug,7.5,1.4
Canberra,9,Sep,10.4,1.9
Canberra,10,Oct,13.5,1.5
Canberra,11,Nov,17.6,2.4
Canberra,12,Dec,19.5,2.8
Darwin,1,Jan,28.6,14.6
Darwin,2,Feb,28.5,16.7
Darwin,3,Mar,28.8,8.6
Darwin,4,Apr,28.8,3.3
Darwin,5,May,27.5,0.8
Darwin,6,Jun,25.6,0.0
Darwin,7,Jul,25.4,0.0
Darwin,8,Aug,25.8,0.0
Darwin,9,Sep,28.2,0.6
Darwin,10,Oct,29.2,2.7
Darwin,11,Nov,29.5,5.2
Darwin,12,Dec,29.0,10.6
Hobart,1,Jan,18.2,1.4
Hobart,2,Feb,17.7,1.1
Hobart,3,Mar,16.8,1.3
Hobart,4,Apr,14.2,0.9
Hobart,5,May,11.4,1.6
Hobart,6,Jun,9.5,1.8
Hobart,7,Jul,9.0,1.7
Hobart,8,Aug,9.8,2.0
Hobart,9,Sep,11.8,2.0
Hobart,10,Oct,13.1,1.7
Hobart,11,Nov,14.8,2.0
Hobart,12,Dec,16.3,1.5
Melbourne,1,Jan,22.0,1.0
Melbourne,2,Feb,21.8,2.1
Melbourne,3,Mar,20.4,1.6
Melbourne,4,Apr,17.1,2.1
Melbourne,5,May,13.9,1.5
Melbourne,6,Jun,11.5,2.0
Melbourne,7,Jul,11.3,1.6
Melbourne,8,Aug,12.1,1.7
Melbourne,9,Sep,14.3,2.1
Melbourne,10,Oct,15.9,2.0
Melbourne,11,Nov,18.4,2.7
Melbourne,12,Dec,19.7,2.1
Perth,1,Jan,25.7,0.5
Perth,2,Feb,25.4,0.9
Perth,3,Mar,23.4,0.6
Perth,4,Apr,20.3,1.1
Perth,5,May,16.3,3.0
Perth,6,Jun,14.2,3.6
Perth,7,Jul,12.9,4.3
Perth,8,Aug,14.1,3.3
Perth,9,Sep,15.2,2.7
Perth,10,Oct,18.2,1.0
Perth,11,Nov,20.7,1.0
Perth,12,Dec,22.9,0.5
Sydney,1,Jan,23.9,3.1
Sydney,2,Feb,23.5,4.3
Sydney,3,Mar,22.4,4.5
Sydney,4,Apr,19.4,5.2
Sydney,5,May,16.6,2.4
Sydney,6,Jun,14.4,5.8
Sydney,7,Jul,13.5,2.9
Sydney,8,Aug,14.5,2.2
Sydney,9,Sep,17.3,1.8
Sydney,10,Oct,19.1,2.2
Sydney,11,Nov,21.2,2.9
Sydney,12,Dec,22.2,2.4
Townsville,1,Jan,28.4,8.7
Townsville,2,Feb,28.2,11.5
Townsville,3,Mar,27.4,8.8
Townsville,4,Apr,25.8,1.8
Townsville,5,May,23.1,1.1
Townsville,6,Jun,20.7,0.8
Townsville,7,Jul,20.3,0.7
Townsville,8,Aug,20.7,0.5
Townsville,9,Sep,23.6,0.5
Townsville,10,Oct,25.3,0.4
Townsville,11,Nov,27.0,1.8
Townsville,12,Dec,28.4,5.0
Woomera,1,Jan,28.3,0.7
Woomera,2,Feb,27.3,0.8
Woomera,3,Mar,24.2,0.4
Woomera,4,Apr,20.0,0.8
Woomera,5,May,15.5,0.5
Woomera,6,Jun,12.2,0.5
Woomera,7,Jul,11.6,0.4
Woomera,8,Aug,13.6,0.4
Woomera,9,Sep,17.0,0.4
Woomera,10,Oct,20.7,0.3
Woomera,11,Nov,24.1,0.4
Woomera,12,Dec,26.1,0.4
