Location,avg_daily_rainfall,annual_rainfall,latitude,longitude
Adelaide,1.57,572.0,-34.9285,138.6007
Albany,2.26,826.0,-35.0269,117.8837
Albury,1.91,699.0,-36.0737,146.9135
AliceSprings,0.88,322.0,-23.698,133.8807
BadgerysCreek,2.19,800.0,-33.88,150.73
Ballarat,1.74,635.0,-37.5622,143.8503
Bendigo,1.62,591.0,-36.757,144.2794
Brisbane,3.14,1148.0,-27.4698,153.0251
Cairns,5.74,2096.0,-16.9186,145.7781
Canberra,1.74,636.0,-35.2809,149.13
Cobar,1.13,411.0,-31.4983,145.8393
CoffsHarbour,5.06,1847.0,-30.2963,153.1135
Dartmoor,2.15,783.0,-37.9167,141.2667
Darwin,5.09,1859.0,-12.4634,130.8456
GoldCoast,3.77,1376.0,-28.0167,153.4
Hobart,1.6,585.0,-42.8821,147.3272
Katherine,3.2,1168.0,-14.465,132.2635
Launceston,2.01,734.0,-41.4332,147.1441
Melbourne,1.87,683.0,-37.8136,144.9631
MelbourneAirport,1.45,530.0,-37.669,144.841
Mildura,0.95,345.0,-34.1852,142.162
Moree,1.63,595.0,-29.465,149.8331
MountGambier,2.09,762.0,-37.8288,140.782
MountGinini,3.29,1202.0,-35.5292,148.7731
Newcastle,3.18,1162.0,-32.9283,151.7817
Nhil,0.93,341.0,-36.3333,141.65
NorahHead,3.39,1236.0,-33.2833,151.5667
NorfolkIsland,3.13,1142.0,-29.0408,167.9547
Nuriootpa,1.39,507.0,-34.4667,138.9833
PearceRAAF,1.67,609.0,-31.6677,116.0153
Penrith,2.18,794.0,-33.75,150.6944
Perth,1.91,696.0,-31.9505,115.8605
PerthAirport,1.76,643.0,-31.9403,115.9764
Portland,2.53,924.0,-38.35,141.6
Richmond,2.14,781.0,-33.5997,150.7519
Sale,1.51,551.0,-38.1,147.0667
SalmonGums,1.03,378.0,-32.9833,121.6333
Sydney,3.32,1213.0,-33.8688,151.2093
SydneyAirport,3.01,1099.0,-33.9461,151.1772
Townsville,3.49,1272.0,-19.2564,146.8183
Tuggeranong,2.16,790.0,-35.4244,149.0669
Uluru,0.78,286.0,-25.3444,131.0369
WaggaWagga,1.71,624.0,-35.1082,147.3598
Walpole,2.91,1061.0,-34.9776,116.7329
Watsonia,1.86,679.0,-37.7167,145.0833
Williamtown,3.59,1311.0,-32.795,151.8427
Witchcliffe,2.9,1057.0,-34.0167,115.1
Wollongong,3.59,1312.0,-34.4278,150.8931
Woomera,0.49,179.0,-31.15,136.8167
