City,Min,Q1,Median,Q3,Max,Range
Darwin,18.8,26.7,28.3,29.4,32.4,18.8C - 32.4C
Cairns,16.8,23.6,25.7,27.4,32.9,16.8C - 32.9C
Townsville,14.3,22.5,25.6,27.7,32.7,14.3C - 32.7C
Alice Springs,5.1,15.2,21.8,27.4,36.2,5.1C - 36.2C
Brisbane,11.4,18.1,21.7,24.8,31.4,11.4C - 31.4C
Woomera,7.6,14.0,19.5,25.0,38.8,7.6C - 38.8C
Sydney,9.4,15.4,18.9,22.3,33.8,9.4C - 33.8C
Perth,7.4,14.9,18.4,22.8,35.4,7.4C - 35.4C
Adelaide,7.3,13.2,16.9,21.4,38.6,7.3C - 38.6C
Melbourne,7.0,12.4,15.6,19.4,35.4,7.0C - 35.4C
Canberra,0.9,8.6,13.6,18.8,30.6,0.9C - 30.6C
Hobart,4.1,10.2,13.2,16.4,32.6,4.1C - 32.6C
